Date,Open,High,Low,Close,Share,Money,Numb
2000/9/6,7725.01 ,7758.45 ,7605.32 ,7610.78 ,1562920189,88337988827,455847
2000/9/7,7467.94 ,7520.17 ,7418.52 ,7430.93 ,1489527666,84607116406,442865
2000/9/8,7457.86 ,7494.67 ,7360.50 ,7367.99 ,1457601171,72692954986,421641
2000/9/11,7297.78 ,7379.85 ,7295.88 ,7335.20 ,1062907221,55718707931,314387
2000/9/13,7279.36 ,7407.78 ,7153.23 ,7391.66 ,1495545147,79510564714,430731
2000/9/14,7348.81 ,7367.27 ,7149.48 ,7152.29 ,1366042369,76358288834,411819
2000/9/15,7160.01 ,7364.46 ,7120.31 ,7155.45 ,1801023953,96897706914,519595
2000/9/16,7096.49 ,7129.02 ,7003.60 ,7053.29 ,1656035934,79657233210,466993
2000/9/18,6990.48 ,7026.27 ,6902.54 ,6910.14 ,1530807000,65468266630,392554
2000/9/19,6811.72 ,6950.04 ,6712.20 ,6734.90 ,2055322655,83156712174,527513
2000/9/20,6843.95 ,6910.91 ,6720.34 ,6880.09 ,2480533381,1.04097E+11,604742
2000/9/21,6818.96 ,6946.84 ,6774.47 ,6920.90 ,2089712647,73829654510,504745
2000/9/22,6737.54 ,6780.27 ,6600.10 ,6612.09 ,2116000808,75575040137,531739
2000/9/25,6618.16 ,6726.75 ,6550.21 ,6677.46 ,1912240062,72921028099,478090
2000/9/26,6647.94 ,6780.68 ,6491.34 ,6749.03 ,2227577219,92661200272,569509
2000/9/27,6706.45 ,6840.38 ,6668.07 ,6717.04 ,1921486163,87086937809,534225
2000/9/28,6744.79 ,6799.62 ,6564.87 ,6564.87 ,1651912225,74418650834,461205
2000/9/29,6571.62 ,6589.82 ,6427.12 ,6432.36 ,1542427329,65990957881,430970
2000/9/30,6228.86 ,6292.55 ,6155.65 ,6185.14 ,1736604680,61147685819,465665
2000/10/2,6165.64 ,6248.12 ,6014.87 ,6024.07 ,1745215000,68146825820,455932
2000/10/3,5943.79 ,6214.53 ,5907.04 ,6143.44 ,2310743032,89024717122,605118
